year,city,rice_count,rice_area,vegetables_count,vegetables_area,fruit_count,fruit_area,tea_count,tea_area,other_count,other_area
104,新北市,2,4.3672,97,106.0888,15,10.5841,41,61.95,2,2.5684
104,臺北市,2,2.4242,47,117.28642,8,9.7525,14,13.6387,3,4.6045
104,臺中市,13,45.9195,122,177.263992,7,6.4791,6,5.3462,2,10.6757
104,臺南市,19,51.7531,57,81.2422,26,36.40101161,2,4.3958,13,13.2225
104,高雄市,7,26.4149,86,261.44175,49,99.7209,0,0,6,18.546
104,宜蘭縣,7,24.34,115,179.1087,106,214.58715,5,7.4908,18,90.5365
104,桃園縣,55,331.0169,36,98.0611,39,41.7602,15,18.002522,6,12.0243
104,新竹縣,3,11.662745,65,77.9668,4,7.5981,3,3.826212,2,1.919
104,苗栗縣,29,151.8657,87,164.6654841,31,40.2569,10,46.1791,13,11.7924
104,彰化縣,7,35.4786,66,70.6101,10,10.0645,1,1.3058,4,57.005
104,南投縣,0,0,100,169.5384,51,107.768,107,119.9659507,15,13.8893
104,雲林縣,25,74.4262,137,233.522775,34,32.9122,0,0,5,8.4918
104,嘉義縣,14,70.4986,66,154.6452,26,30.0472,11,13.2252,14,78.2997
104,屏東縣,7,73.4121,78,120.9556,80,164.307,0,0,34,258.8659
104,臺東縣,12,179.1201,22,73.0941,46,236.770747,14,21.848377,25,55.6948
104,花蓮縣,38,697.3802,95,322.2231,75,143.4609,8,25.8685,39,84.5138
104,澎湖縣,0,0,9,5.5669,8,2.8408,0,0,0,0
104,基隆市,0,0,2,2.7347,0,0,0,0,0,0
104,新竹市,0,0,7,18.3308,3,8.9488,0,0,1,0.1206
104,嘉義市,0,0,2,1.6015,2,1.296,0,0,0,0
104,金門縣,0,0,3,2.5664,0,0,0,0,0,0
104,連江縣,0,0,0,0,0,0,0,0,0,0
103,新北市,6,4.3744,91,122.9956,11,17.9911,43,79.0105,8,2.3161
103,臺北市,3,19.1122,46,76.1541,7,17.8829,13,13.4131,8,6.7815
103,臺中市,40,48.3571,53,91.28,20,34.2512,6,41.746,25,12.6131
103,臺南市,7,17.8443,102,184.4278,42,66.0167,1,1.408,9,21.4163
103,高雄市,19,84.9272,113,223.5504,86,182.3101,4,5.0949,33,25.209
103,宜蘭縣,74,289.5823,40,89.7101,29,32.6722,16,18.117,11,8.2685
103,桃園縣,24,26.1439,105,178.8779,5,4.3168,7,8.9822,12,5.3177
103,新竹縣,11,19.789,61,97.6486,3,4.8437,2,3.0262,6,13.5153
103,苗栗縣,114,183.6429,76,135.1441,29,39.0369,12,62.5126,23,22.8723
